PassengerId,Survived
892,(array([[5, 4]]), ['False', 'True'], ['False'])
1056,(array([[5, 4]]), ['False', 'True'], ['False'])
1057,(array([[5, 4]]), ['False', 'True'], ['False'])
1058,(array([[4, 5]]), ['False', 'True'], ['True'])
1059,(array([[5, 4]]), ['False', 'True'], ['False'])
1060,(array([[4, 5]]), ['False', 'True'], ['True'])
1061,(array([[5, 4]]), ['False', 'True'], ['False'])
1062,(array([[5, 4]]), ['False', 'True'], ['False'])
1063,(array([[5, 4]]), ['False', 'True'], ['False'])
1064,(array([[5, 4]]), ['False', 'True'], ['False'])
1065,(array([[5, 4]]), ['False', 'True'], ['False'])
1066,(array([[5, 4]]), ['False', 'True'], ['False'])
1067,(array([[4, 5]]), ['False', 'True'], ['True'])
1068,(array([[4, 5]]), ['False', 'True'], ['True'])
1069,(array([[5, 4]]), ['False', 'True'], ['False'])
1070,(array([[4, 5]]), ['False', 'True'], ['True'])
1071,(array([[4, 5]]), ['False', 'True'], ['True'])
1072,(array([[5, 4]]), ['False', 'True'], ['False'])
1073,(array([[5, 4]]), ['False', 'True'], ['False'])
1074,(array([[4, 5]]), ['False', 'True'], ['True'])
1075,(array([[5, 4]]), ['False', 'True'], ['False'])
1076,(array([[4, 5]]), ['False', 'True'], ['True'])
1077,(array([[5, 4]]), ['False', 'True'], ['False'])
1078,(array([[4, 5]]), ['False', 'True'], ['True'])
1079,(array([[5, 4]]), ['False', 'True'], ['False'])
1080,(array([[5, 4]]), ['False', 'True'], ['False'])
1081,(array([[5, 4]]), ['False', 'True'], ['False'])
1082,(array([[5, 4]]), ['False', 'True'], ['False'])
1083,(array([[5, 4]]), ['False', 'True'], ['False'])
1084,(array([[5, 4]]), ['False', 'True'], ['False'])
1085,(array([[5, 2]]), ['False', 'True'], ['False'])
1086,(array([[4, 5]]), ['False', 'True'], ['True'])
1087,(array([[5, 4]]), ['False', 'True'], ['False'])
1088,(array([[4, 5]]), ['False', 'True'], ['True'])
1089,(array([[4, 5]]), ['False', 'True'], ['True'])
1090,(array([[5, 4]]), ['False', 'True'], ['False'])
1091,(array([[5, 4]]), ['False', 'True'], ['False'])
1092,(array([[4, 5]]), ['False', 'True'], ['True'])
1093,(array([[5, 4]]), ['False', 'True'], ['False'])
1094,(array([[4, 5]]), ['False', 'True'], ['True'])
1095,(array([[4, 5]]), ['False', 'True'], ['True'])
1096,(array([[5, 4]]), ['False', 'True'], ['False'])
1097,(array([[4, 5]]), ['False', 'True'], ['True'])
1098,(array([[5, 4]]), ['False', 'True'], ['False'])
1099,(array([[5, 4]]), ['False', 'True'], ['False'])
1100,(array([[4, 5]]), ['False', 'True'], ['True'])
1101,(array([[5, 4]]), ['False', 'True'], ['False'])
1102,(array([[5, 4]]), ['False', 'True'], ['False'])
1103,(array([[5, 4]]), ['False', 'True'], ['False'])
1104,(array([[5, 4]]), ['False', 'True'], ['False'])
1105,(array([[4, 5]]), ['False', 'True'], ['True'])
1106,(array([[4, 5]]), ['False', 'True'], ['True'])
1107,(array([[5, 4]]), ['False', 'True'], ['False'])
1108,(array([[4, 5]]), ['False', 'True'], ['True'])
1109,(array([[5, 4]]), ['False', 'True'], ['False'])
1110,(array([[4, 5]]), ['False', 'True'], ['True'])
1111,(array([[5, 4]]), ['False', 'True'], ['False'])
1112,(array([[4, 5]]), ['False', 'True'], ['True'])
1113,(array([[5, 4]]), ['False', 'True'], ['False'])
1114,(array([[4, 5]]), ['False', 'True'], ['True'])
1115,(array([[5, 4]]), ['False', 'True'], ['False'])
1116,(array([[4, 5]]), ['False', 'True'], ['True'])
1117,(array([[4, 5]]), ['False', 'True'], ['True'])
1118,(array([[5, 4]]), ['False', 'True'], ['False'])
1119,(array([[4, 5]]), ['False', 'True'], ['True'])
1120,(array([[5, 4]]), ['False', 'True'], ['False'])
1121,(array([[5, 4]]), ['False', 'True'], ['False'])
1122,(array([[5, 4]]), ['False', 'True'], ['False'])
1123,(array([[4, 5]]), ['False', 'True'], ['True'])
1124,(array([[5, 4]]), ['False', 'True'], ['False'])
1125,(array([[5, 4]]), ['False', 'True'], ['False'])
1126,(array([[5, 4]]), ['False', 'True'], ['False'])
1127,(array([[5, 4]]), ['False', 'True'], ['False'])
1128,(array([[5, 4]]), ['False', 'True'], ['False'])
1129,(array([[5, 4]]), ['False', 'True'], ['False'])
1130,(array([[4, 5]]), ['False', 'True'], ['True'])
1131,(array([[4, 5]]), ['False', 'True'], ['True'])
1132,(array([[4, 5]]), ['False', 'True'], ['True'])
1133,(array([[4, 5]]), ['False', 'True'], ['True'])
1134,(array([[4, 5]]), ['False', 'True'], ['True'])
1135,(array([[5, 4]]), ['False', 'True'], ['False'])
1136,(array([[5, 4]]), ['False', 'True'], ['False'])
1137,(array([[5, 4]]), ['False', 'True'], ['False'])
1138,(array([[4, 5]]), ['False', 'True'], ['True'])
1139,(array([[5, 4]]), ['False', 'True'], ['False'])
1140,(array([[4, 5]]), ['False', 'True'], ['True'])
1141,(array([[4, 5]]), ['False', 'True'], ['True'])
1142,(array([[4, 5]]), ['False', 'True'], ['True'])
1143,(array([[5, 4]]), ['False', 'True'], ['False'])
1144,(array([[4, 5]]), ['False', 'True'], ['True'])
1145,(array([[5, 4]]), ['False', 'True'], ['False'])
1146,(array([[5, 4]]), ['False', 'True'], ['False'])
1147,(array([[5, 4]]), ['False', 'True'], ['False'])
1148,(array([[5, 4]]), ['False', 'True'], ['False'])
1149,(array([[5, 4]]), ['False', 'True'], ['False'])
1150,(array([[4, 5]]), ['False', 'True'], ['True'])
1151,(array([[5, 4]]), ['False', 'True'], ['False'])
1152,(array([[5, 4]]), ['False', 'True'], ['False'])
1153,(array([[5, 4]]), ['False', 'True'], ['False'])
1154,(array([[4, 5]]), ['False', 'True'], ['True'])
1155,(array([[5, 4]]), ['False', 'True'], ['False'])
1156,(array([[5, 4]]), ['False', 'True'], ['False'])
1157,(array([[5, 4]]), ['False', 'True'], ['False'])
1158,(array([[5, 4]]), ['False', 'True'], ['False'])
1159,(array([[5, 4]]), ['False', 'True'], ['False'])
1160,(array([[5, 4]]), ['False', 'True'], ['False'])
1161,(array([[5, 4]]), ['False', 'True'], ['False'])
1162,(array([[4, 5]]), ['False', 'True'], ['True'])
1163,(array([[5, 4]]), ['False', 'True'], ['False'])
1164,(array([[4, 5]]), ['False', 'True'], ['True'])
1165,(array([[4, 5]]), ['False', 'True'], ['True'])
1166,(array([[5, 4]]), ['False', 'True'], ['False'])
1167,(array([[4, 5]]), ['False', 'True'], ['True'])
1168,(array([[5, 4]]), ['False', 'True'], ['False'])
1169,(array([[5, 4]]), ['False', 'True'], ['False'])
1170,(array([[5, 4]]), ['False', 'True'], ['False'])
1171,(array([[5, 4]]), ['False', 'True'], ['False'])
1172,(array([[5, 4]]), ['False', 'True'], ['False'])
1173,(array([[5, 4]]), ['False', 'True'], ['False'])
1174,(array([[4, 5]]), ['False', 'True'], ['True'])
1175,(array([[4, 5]]), ['False', 'True'], ['True'])
1176,(array([[5, 4]]), ['False', 'True'], ['False'])
1177,(array([[5, 4]]), ['False', 'True'], ['False'])
1178,(array([[5, 4]]), ['False', 'True'], ['False'])
1179,(array([[4, 5]]), ['False', 'True'], ['True'])
1180,(array([[5, 4]]), ['False', 'True'], ['False'])
1181,(array([[5, 4]]), ['False', 'True'], ['False'])
1182,(array([[5, 4]]), ['False', 'True'], ['False'])
1183,(array([[5, 4]]), ['False', 'True'], ['False'])
1184,(array([[5, 4]]), ['False', 'True'], ['False'])
1185,(array([[5, 4]]), ['False', 'True'], ['False'])
1186,(array([[5, 4]]), ['False', 'True'], ['False'])
1187,(array([[5, 4]]), ['False', 'True'], ['False'])
1188,(array([[4, 5]]), ['False', 'True'], ['True'])
1189,(array([[5, 4]]), ['False', 'True'], ['False'])
1190,(array([[4, 5]]), ['False', 'True'], ['True'])
1191,(array([[5, 4]]), ['False', 'True'], ['False'])
1192,(array([[5, 4]]), ['False', 'True'], ['False'])
1193,(array([[4, 5]]), ['False', 'True'], ['True'])
1194,(array([[5, 4]]), ['False', 'True'], ['False'])
1195,(array([[5, 4]]), ['False', 'True'], ['False'])
1196,(array([[4, 5]]), ['False', 'True'], ['True'])
1197,(array([[4, 5]]), ['False', 'True'], ['True'])
1198,(array([[4, 5]]), ['False', 'True'], ['True'])
1199,(array([[5, 4]]), ['False', 'True'], ['False'])
1200,(array([[5, 4]]), ['False', 'True'], ['False'])
1201,(array([[5, 4]]), ['False', 'True'], ['False'])
1202,(array([[5, 4]]), ['False', 'True'], ['False'])
1203,(array([[5, 4]]), ['False', 'True'], ['False'])
1204,(array([[5, 4]]), ['False', 'True'], ['False'])
1205,(array([[5, 4]]), ['False', 'True'], ['False'])
1206,(array([[4, 5]]), ['False', 'True'], ['True'])
1207,(array([[3, 5]]), ['False', 'True'], ['True'])
1208,(array([[5, 4]]), ['False', 'True'], ['False'])
1209,(array([[5, 4]]), ['False', 'True'], ['False'])
1210,(array([[5, 4]]), ['False', 'True'], ['False'])
1211,(array([[5, 4]]), ['False', 'True'], ['False'])
1212,(array([[5, 4]]), ['False', 'True'], ['False'])
1213,(array([[5, 4]]), ['False', 'True'], ['False'])
1214,(array([[5, 4]]), ['False', 'True'], ['False'])
1215,(array([[4, 5]]), ['False', 'True'], ['True'])
1216,(array([[4, 5]]), ['False', 'True'], ['True'])
1217,(array([[5, 4]]), ['False', 'True'], ['False'])
1218,(array([[4, 5]]), ['False', 'True'], ['True'])
1219,(array([[4, 5]]), ['False', 'True'], ['True'])
1220,(array([[5, 4]]), ['False', 'True'], ['False'])
1221,(array([[5, 4]]), ['False', 'True'], ['False'])
1222,(array([[4, 5]]), ['False', 'True'], ['True'])
1223,(array([[5, 4]]), ['False', 'True'], ['False'])
1224,(array([[5, 4]]), ['False', 'True'], ['False'])
1225,(array([[4, 5]]), ['False', 'True'], ['True'])
1226,(array([[5, 4]]), ['False', 'True'], ['False'])
1227,(array([[4, 5]]), ['False', 'True'], ['True'])
1228,(array([[5, 4]]), ['False', 'True'], ['False'])
1229,(array([[5, 4]]), ['False', 'True'], ['False'])
1230,(array([[5, 4]]), ['False', 'True'], ['False'])
1231,(array([[5, 4]]), ['False', 'True'], ['False'])
1232,(array([[5, 4]]), ['False', 'True'], ['False'])
1233,(array([[5, 4]]), ['False', 'True'], ['False'])
1234,(array([[5, 4]]), ['False', 'True'], ['False'])
1235,(array([[4, 5]]), ['False', 'True'], ['True'])
1236,(array([[5, 4]]), ['False', 'True'], ['False'])
1237,(array([[4, 5]]), ['False', 'True'], ['True'])
1238,(array([[5, 4]]), ['False', 'True'], ['False'])
1239,(array([[4, 5]]), ['False', 'True'], ['True'])
1240,(array([[5, 4]]), ['False', 'True'], ['False'])
1241,(array([[4, 5]]), ['False', 'True'], ['True'])
1242,(array([[4, 5]]), ['False', 'True'], ['True'])
1243,(array([[5, 4]]), ['False', 'True'], ['False'])
1244,(array([[5, 4]]), ['False', 'True'], ['False'])
1245,(array([[5, 4]]), ['False', 'True'], ['False'])
1246,(array([[5, 4]]), ['False', 'True'], ['False'])
1247,(array([[5, 4]]), ['False', 'True'], ['False'])
1248,(array([[4, 5]]), ['False', 'True'], ['True'])
1249,(array([[5, 4]]), ['False', 'True'], ['False'])
1250,(array([[5, 4]]), ['False', 'True'], ['False'])
1251,(array([[4, 5]]), ['False', 'True'], ['True'])
1252,(array([[5, 4]]), ['False', 'True'], ['False'])
1253,(array([[4, 5]]), ['False', 'True'], ['True'])
1254,(array([[4, 5]]), ['False', 'True'], ['True'])
1255,(array([[5, 4]]), ['False', 'True'], ['False'])
1256,(array([[4, 5]]), ['False', 'True'], ['True'])
1257,(array([[5, 4]]), ['False', 'True'], ['False'])
1258,(array([[5, 4]]), ['False', 'True'], ['False'])
1259,(array([[5, 4]]), ['False', 'True'], ['False'])
1260,(array([[4, 5]]), ['False', 'True'], ['True'])
1261,(array([[5, 4]]), ['False', 'True'], ['False'])
1262,(array([[5, 4]]), ['False', 'True'], ['False'])
1263,(array([[4, 5]]), ['False', 'True'], ['True'])
1264,(array([[5, 4]]), ['False', 'True'], ['False'])
1265,(array([[5, 4]]), ['False', 'True'], ['False'])
1266,(array([[4, 5]]), ['False', 'True'], ['True'])
1267,(array([[4, 5]]), ['False', 'True'], ['True'])
1268,(array([[5, 4]]), ['False', 'True'], ['False'])
1269,(array([[5, 4]]), ['False', 'True'], ['False'])
1270,(array([[5, 4]]), ['False', 'True'], ['False'])
1271,(array([[5, 4]]), ['False', 'True'], ['False'])
1272,(array([[5, 4]]), ['False', 'True'], ['False'])
1273,(array([[5, 4]]), ['False', 'True'], ['False'])
1274,(array([[5, 4]]), ['False', 'True'], ['False'])
1275,(array([[4, 5]]), ['False', 'True'], ['True'])
1276,(array([[4, 5]]), ['False', 'True'], ['True'])
1277,(array([[4, 5]]), ['False', 'True'], ['True'])
1278,(array([[5, 4]]), ['False', 'True'], ['False'])
1279,(array([[5, 4]]), ['False', 'True'], ['False'])
1280,(array([[5, 4]]), ['False', 'True'], ['False'])
1281,(array([[5, 4]]), ['False', 'True'], ['False'])
1282,(array([[4, 5]]), ['False', 'True'], ['True'])
1283,(array([[4, 5]]), ['False', 'True'], ['True'])
1284,(array([[5, 4]]), ['False', 'True'], ['False'])
1285,(array([[5, 4]]), ['False', 'True'], ['False'])
1286,(array([[5, 4]]), ['False', 'True'], ['False'])
1287,(array([[4, 5]]), ['False', 'True'], ['True'])
1288,(array([[5, 4]]), ['False', 'True'], ['False'])
1289,(array([[4, 5]]), ['False', 'True'], ['True'])
1290,(array([[5, 4]]), ['False', 'True'], ['False'])
1291,(array([[5, 4]]), ['False', 'True'], ['False'])
1292,(array([[4, 5]]), ['False', 'True'], ['True'])
1293,(array([[5, 4]]), ['False', 'True'], ['False'])
1294,(array([[4, 5]]), ['False', 'True'], ['True'])
1295,(array([[4, 5]]), ['False', 'True'], ['True'])
1296,(array([[4, 5]]), ['False', 'True'], ['True'])
1297,(array([[5, 4]]), ['False', 'True'], ['False'])
1298,(array([[5, 4]]), ['False', 'True'], ['False'])
1299,(array([[5, 4]]), ['False', 'True'], ['False'])
1300,(array([[4, 5]]), ['False', 'True'], ['True'])
1301,(array([[5, 4]]), ['False', 'True'], ['False'])
1302,(array([[4, 5]]), ['False', 'True'], ['True'])
1303,(array([[4, 5]]), ['False', 'True'], ['True'])
1304,(array([[5, 4]]), ['False', 'True'], ['False'])
1305,(array([[5, 4]]), ['False', 'True'], ['False'])
1306,(array([[4, 5]]), ['False', 'True'], ['True'])
1307,(array([[5, 4]]), ['False', 'True'], ['False'])
1308,(array([[5, 4]]), ['False', 'True'], ['False'])
1309,(array([[5, 4]]), ['False', 'True'], ['False'])
